335 COPPIA: 19541 19543  T: 0.047798
336 COPPIA: 19697 19699  T: 0.048443
337 COPPIA: 19751 19753  T: 0.048700
338 COPPIA: 19841 19843  T: 0.049106
339 COPPIA: 19889 19891  T: 0.049322
340 COPPIA: 19961 19963  T: 0.049646
341 COPPIA: 19991 19993  T: 0.049766
342 COPPIA: 20021 20023  T: 0.049974
343 COPPIA: 20147 20149  T: 0.050636
344 COPPIA: 20231 20233  T: 0.051018
345 COPPIA: 20357 20359  T: 0.051574
346 COPPIA: 20441 20443  T: 0.051959
347 COPPIA: 20477 20479  T: 0.052124
348 COPPIA: 20507 20509  T: 0.052282
349 COPPIA: 20549 20551  T: 0.052485
350 COPPIA: 20639 20641  T: 0.052993
351 COPPIA: 20717 20719  T: 0.053418
352 COPPIA: 20747 20749  T: 0.053665
353 COPPIA: 20771 20773  T: 0.053820
354 COPPIA: 20807 20809  T: 0.053983
355 COPPIA: 20897 20899  T: 0.054396
356 COPPIA: 20981 20983  T: 0.054804
357 COPPIA: 21011 21013  T: 0.055398
358 COPPIA: 21017 21019  T: 0.055451
359 COPPIA: 21059 21061  T: 0.055675
360 COPPIA: 21191 21193  T: 0.056362
361 COPPIA: 21317 21319  T: 0.056956
362 COPPIA: 21377 21379  T: 0.057355
363 COPPIA: 21491 21493  T: 0.058031
364 COPPIA: 21521 21523  T: 0.058236
365 COPPIA: 21557 21559  T: 0.058440
366 COPPIA: 21587 21589  T: 0.058612
367 COPPIA: 21599 21601  T: 0.058696
368 COPPIA: 21611 21613  T: 0.058750
369 COPPIA: 21647 21649  T: 0.058908
370 COPPIA: 21737 21739  T: 0.059337
371 COPPIA: 21839 21841  T: 0.059900
372 COPPIA: 22037 22039  T: 0.060938
373 COPPIA: 22091 22093  T: 0.061231
374 COPPIA: 22109 22111  T: 0.061322
375 COPPIA: 22157 22159  T: 0.061651
376 COPPIA: 22271 22273  T: 0.062205
377 COPPIA: 22277 22279  T: 0.062264
378 COPPIA: 22367 22369  T: 0.062673
379 COPPIA: 22481 22483  T: 0.063249
380 COPPIA: 22541 22543  T: 0.063592
381 COPPIA: 22571 22573  T: 0.063780
382 COPPIA: 22619 22621  T: 0.064013
383 COPPIA: 22637 22639  T: 0.064113
384 COPPIA: 22697 22699  T: 0.064434
385 COPPIA: 22739 22741  T: 0.064668
386 COPPIA: 22859 22861  T: 0.065343
387 COPPIA: 22961 22963  T: 0.065772
388 COPPIA: 23027 23029  T: 0.066192
389 COPPIA: 23039 23041  T: 0.066267
390 COPPIA: 23057 23059  T: 0.066395
391 COPPIA: 23201 23203  T: 0.067197
392 COPPIA: 23291 23293  T: 0.067768
393 COPPIA: 23369 23371  T: 0.068130
394 COPPIA: 23537 23539  T: 0.069048
395 COPPIA: 23561 23563  T: 0.069204
396 COPPIA: 23627 23629  T: 0.069668
397 COPPIA: 23669 23671  T: 0.069864
398 COPPIA: 23687 23689  T: 0.069997
399 COPPIA: 23741 23743  T: 0.070281
400 COPPIA: 23831 23833  T: 0.070806
401 COPPIA: 23909 23911  T: 0.071300
402 COPPIA: 24107 24109  T: 0.072586
403 COPPIA: 24179 24181  T: 0.073272
404 COPPIA: 24371 24373  T: 0.074291
405 COPPIA: 24419 24421  T: 0.074555
406 COPPIA: 24917 24919  T: 0.077592
407 COPPIA: 24977 24979  T: 0.077959
408 COPPIA: 25031 25033  T: 0.078240
