295 COPPIA: 16901 16903  T: 0.071239
296 COPPIA: 16979 16981  T: 0.071842
297 COPPIA: 17027 17029  T: 0.072187
298 COPPIA: 17189 17191  T: 0.073236
299 COPPIA: 17207 17209  T: 0.073404
300 COPPIA: 17291 17293  T: 0.073871
301 COPPIA: 17387 17389  T: 0.074610
302 COPPIA: 17417 17419  T: 0.074836
303 COPPIA: 17489 17491  T: 0.075309
304 COPPIA: 17579 17581  T: 0.075903
305 COPPIA: 17597 17599  T: 0.076073
306 COPPIA: 17657 17659  T: 0.076458
307 COPPIA: 17681 17683  T: 0.076593
308 COPPIA: 17747 17749  T: 0.077061
309 COPPIA: 17789 17791  T: 0.077358
310 COPPIA: 17837 17839  T: 0.077681
311 COPPIA: 17909 17911  T: 0.078227
312 COPPIA: 17921 17923  T: 0.078330
313 COPPIA: 17957 17959  T: 0.078581
314 COPPIA: 17987 17989  T: 0.078953
315 COPPIA: 18041 18043  T: 0.079602
316 COPPIA: 18047 18049  T: 0.079769
317 COPPIA: 18059 18061  T: 0.079992
318 COPPIA: 18119 18121  T: 0.080611
319 COPPIA: 18131 18133  T: 0.080891
320 COPPIA: 18251 18253  T: 0.082384
321 COPPIA: 18287 18289  T: 0.082650
322 COPPIA: 18311 18313  T: 0.082880
323 COPPIA: 18521 18523  T: 0.084437
324 COPPIA: 18539 18541  T: 0.084591
325 COPPIA: 18911 18913  T: 0.086983
326 COPPIA: 18917 18919  T: 0.087086
327 COPPIA: 19079 19081  T: 0.088196
328 COPPIA: 19139 19141  T: 0.088606
329 COPPIA: 19181 19183  T: 0.088880
330 COPPIA: 19211 19213  T: 0.089169
331 COPPIA: 19379 19381  T: 0.090441
332 COPPIA: 19421 19423  T: 0.090813
333 COPPIA: 19427 19429  T: 0.090905
334 COPPIA: 19469 19471  T: 0.091296
335 COPPIA: 19541 19543  T: 0.091976
336 COPPIA: 19697 19699  T: 0.093002
337 COPPIA: 19751 19753  T: 0.093442
338 COPPIA: 19841 19843  T: 0.094156
339 COPPIA: 19889 19891  T: 0.094576
340 COPPIA: 19961 19963  T: 0.095152
341 COPPIA: 19991 19993  T: 0.095356
342 COPPIA: 20021 20023  T: 0.095662
343 COPPIA: 20147 20149  T: 0.096773
344 COPPIA: 20231 20233  T: 0.097433
345 COPPIA: 20357 20359  T: 0.098396
346 COPPIA: 20441 20443  T: 0.099291
347 COPPIA: 20477 20479  T: 0.099739
348 COPPIA: 20507 20509  T: 0.100092
349 COPPIA: 20549 20551  T: 0.100467
350 COPPIA: 20639 20641  T: 0.101238
351 COPPIA: 20717 20719  T: 0.101861
352 COPPIA: 20747 20749  T: 0.102178
